自治体番号,都道府県,市区町村,総人口,保育所申込者数,保育所利用者数,待機児童数,利用可能率,ポイント,一人あたりの住居の広さ,ポイント,国勢調査インターネット回答率,ポイント,2020年1月17日1400の昼間人口,2020年7月31日1400の昼間人口,増減率,ポイント,　wifi スポット数,人口あたり,ポイント,日常生活サービス　徒歩圏,ポイント,総合点,順位
42202,長崎県,佐世保市,249681,6545,5116,0,78.17%,3,13.42,3,36.5,3,183230,185775,1.39,4,408,0.16%,3,43.7,4,20,209
42204,長崎県,諫早市,136679,4159,3393,0,81.58%,3,13.81,4,38.5,3,110148,112243,1.9,4,210,0.15%,3,34.8,3,20,211
43100,熊本県,熊本市,733721,20740,13209,0,63.69%,2,12.98,2,40.1,4,698828,697323,-0.22,3,1496,0.20%,5,86.6,10,26,59
43202,熊本県,八代市,126667,4472,4396,0,98.30%,8,13.62,3,32.6,2,91853,91004,-0.92,2,225,0.18%,4,57.3,5,24,101
44201,大分県,大分市,478393,10057,6266,463,62.30%,1,13.86,4,38.3,3,351810,352054,0.07,3,861,0.18%,4,47.8,4,19,238
44202,大分県,別府市,116821,2411,2241,0,92.95%,6,14.42,4,28,1,85632,83277,-2.75,1,257,0.22%,5,72.8,6,23,132
45201,宮崎県,宮崎市,402632,11904,7669,28,64.42%,2,13.17,2,38.8,3,322609,319372,-1,2,770,0.19%,4,45.7,4,17,271
45202,宮崎県,都城市,164506,4989,2768,0,55.48%,1,15.73,6,32.5,2,114839,115170,0.29,3,333,0.20%,5,14.4,2,19,242
45203,宮崎県,延岡市,122166,3051,1650,0,54.08%,1,13.39,3,32.5,2,78405,80066,2.12,5,186,0.15%,3,28.9,3,17,267
46201,鹿児島県,鹿児島市,602465,12998,10409,252,80.08%,3,12.81,2,34.8,2,481644,477032,-0.96,2,1326,0.22%,5,53.7,5,19,237
46203,鹿児島県,鹿屋市,102875,3247,2022,0,62.27%,1,13.2,3,23.2,1,67722,68520,1.18,4,188,0.18%,4,6.7,1,14,284
46218,鹿児島県,霧島市,125469,3475,1531,0,44.06%,1,13.22,3,33.1,2,68401,66980,-2.08,1,239,0.19%,4,17.8,2,13,287
47201,沖縄県,那覇市,322011,9811,8406,200,85.68%,4,10.82,1,23,1,303749,302633,-0.37,2,821,0.25%,8,84.8,10,26,60
47208,沖縄県,浦添市,115340,4304,3427,236,79.62%,3,10.67,1,23,1,110812,111390,0.52,3,201,0.17%,4,66.2,6,18,248
47211,沖縄県,沖縄市,142634,4947,4027,440,81.40%,3,11.4,1,19.1,1,108120,109164,0.97,4,253,0.18%,4,42.6,4,17,265
47213,沖縄県,うるま市,124457,4056,3540,333,87.28%,4,11.25,1,15.9,1,90684,89923,-0.84,2,242,0.19%,4,27.5,3,15,280
